"Specie","Author1","Author2"
"Fabaceae",NA,NA
"Abarema cochleata var. cochleata","(Willd.) Barneby & J.W.Grimes",NA
"Abarema cochliacarpos","(Gomes) Barneby & J.W.Grimes",NA
"Abarema filamentosa","(Benth.) Pittier",NA
"Abarema langsdorffii","(Benth.) Barneby & J.W.Grimes",NA
"Acosmium diffusissimum","(Mohlenbr.) Yakovlev",NA
"Aeschynomene americana var. glandulosa","L.","(Poir.) Rudd"
"Aeschynomene falcata var. falcata","(Poir.) DC.",NA
"Aeschynomene marginata var. grandiflora","Benth.","Benth."
"Aeschynomene marginata var. marginata","Benth.",NA
"Aeschynomene martii","Benth.",NA
"Aeschynomene mollicula","Kunth",NA
"Aeschynomene mollicula var. breviflora","Kunth","Rudd"
"Aeschynomene mollicula var. mollicula","Kunth",NA
"Aeschynomene rostrata","Benth.",NA
"Aeschynomene scabra","G.Don",NA
"Aeschynomene sensitiva var. hispidula","Sw.","(Kunth) Rudd"
"Aeschynomene soniae","G.P.Lewis",NA
"Aeschynomene viscidula","Michx.",NA
"Albizia polycephala","(Benth.) Killip ex Record",NA
"Anadenanthera colubrina","(Vell.) Brenan",NA
"Anadenanthera colubrina var. cebil","(Vell.) Brenan","(Griseb.) Altschul"
"Anadenanthera colubrina var. colubrina","(Vell.) Brenan",NA
"Anadenanthera peregrina var. falcata","(L.) Speg.","(Benth.) Altschul"
"Andira carvalhoi","R.T.Penn. & H.C.Lima",NA
"Andira marauensis","N.F.Mattos",NA
"Andira nitida","Mart. ex Benth.",NA
"Arachis dardani","Krapov. & W.C.Greg.",NA
"Arachis pusilla","Benth.",NA
"Arachis triseminata","Krapov. & W.C.Greg.",NA
"Arapatiella emarginata","R.S.Cowan",NA
"Arapatiella psilophylla","(Harms) R.S.Cowan",NA
"Ateleia venezuelensis","Mohlenbr.",NA
"Bauhinia integerrima","Mart. ex Benth.",NA
"Blanchetiodendron",NA,NA
"Blanchetiodendron blanchetii","(Benth.) Barneby & J.W.Grimes",NA
"Brodriguesia",NA,NA
"Brodriguesia santosii","R.S.Cowan",NA
"Calliandra aeschynomenoides","Benth.",NA
"Calliandra asplenioides","(Nees) Renvoize",NA
"Calliandra bahiana","Renvoize",NA
"Calliandra bahiana var. bahiana","Renvoize",NA
"Calliandra bahiana var. erythematosa","Renvoize","Barneby"
"Calliandra bella","Benth.",NA
"Calliandra blanchetii","Benth.",NA
"Calliandra calycina","Benth.",NA
"Calliandra coccinea","Renvoize",NA
"Calliandra coccinea var. coccinea","Renvoize",NA
"Calliandra coccinea var. trimera","Renvoize","Barneby"
"Calliandra crassipes","Benth.",NA
"Calliandra debilis","Renvoize",NA
"Calliandra depauperata","Benth.",NA
"Calliandra duckei","Barneby",NA
"Calliandra dysantha","Benth.",NA
"Calliandra dysantha var. dysantha","Benth.",NA
"Calliandra elegans","Renvoize",NA
"Calliandra erubescens","Renvoize",NA
"Calliandra feioana","Renvoize",NA
"Calliandra fernandesii","Barneby",NA
"Calliandra fuscipila","Harms",NA
"Calliandra ganevii","Barneby",NA
"Calliandra germana","Barneby",NA
"Calliandra harrisii","(Lindl.) Benth.",NA
"Calliandra hirsuticaulis","Harms",NA
"Calliandra hirtiflora","Benth.",NA
"Calliandra hirtiflora var. hirtiflora","Benth.",NA
"Calliandra hirtiflora var. ripicola","Benth.","Barneby"
"Calliandra hygrophila","Mackinder & G.P.Lewis",NA
"Calliandra imperialis","Barneby",NA
"Calliandra involuta","Mackinder & G.P.Lewis",NA
"Calliandra lanata","Benth.",NA
"Calliandra leptopoda","Benth.",NA
"Calliandra lintea","Barneby",NA
"Calliandra longipinna","Benth.",NA
"Calliandra luetzelburgii","Harms",NA
"Calliandra macrocalyx","Harms",NA
"Calliandra macrocalyx var. aucta","Harms","Barneby"
"Calliandra macrocalyx var. macrocalyx","Harms",NA
"Calliandra mucugeana","Renvoize",NA
"Calliandra nebulosa","Barneby",NA
"Calliandra parvifolia","(Hook. & Arn.) Speg.",NA
"Calliandra paterna","Barneby",NA
"Calliandra pilgerana","Harms",NA
"Calliandra renvoizeana","Barneby",NA
"Calliandra semisepulta","Barneby",NA
"Calliandra sincorana","Harms",NA
"Calliandra squarrosa","Benth.",NA
"Calliandra stelligera","Barneby",NA
"Calliandra subspicata","Benth.",NA
"Calliandra ulei","Harms",NA
"Calliandra viscidula","Benth.",NA
"Canavalia cassidea","G.P.Lewis",NA
"Canavalia parviflora","Benth.",NA
"Cassia ferruginea var. velloziana","(Schrad.) Schrad. ex DC.","H.S.Irwin & Barneby"
"Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima",NA
"Centrolobium robustum","(Vell.) Mart. ex Benth.",NA
"Centrosema brasilianum var. brasilianum","(L.) Benth.",NA
"Centrosema sagittatum","(Humb. & Bonpl. ex Willd.) Brandegee",NA
"Chaetocalyx acutifolia","(Vogel) Benth.",NA
"Chamaecrista acosmifolia var. euryloba","(Mart. ex Benth.) H.S.Irwin & Barneby","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Chamaecrista amabilis","H.S.Irwin & Barneby",NA
"Chamaecrista amorimii","Barneby",NA
"Chamaecrista aspidiifolia","H.S.Irwin",NA
"Chamaecrista aspleniifolia","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista barbata","(Nees & Mart.) H.S.Irwin & Barneby",NA
"Chamaecrista belemii","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista belemii var. belemii","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista belemii var. paludicola","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Chamaecrista carobinha","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista compitalis","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista desvauxii var. latifolia","(Collad.) Killip","(Benth.) H.S.Irwin & Barneby"
"Chamaecrista desvauxii var. mollissima","(Collad.) Killip","(Benth.) H.S.Irwin & Barneby"
"Chamaecrista duartei","(H.S.Irwin) H.S.Irwin & Barneby",NA
"Chamaecrista duckeana","(P.Bezerra & Afr.Fern.) H.S.Irwin & Barneby",NA
"Chamaecrista eitenorum var. eitenorum","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista eitenorum var. regana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
"Chamaecrista glandulosa var. brasiliensis","(L.) Greene","(Vogel) H.S.Irwin & Barneby"
"Chamaecrista rotundifolia var. grandiflora","(Pers.) Greene","(Benth.) H.S.Irwin & Barneby"
"Chamaecrista salvatoris","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",NA
"Chamaecrista swainsonii","(Benth.) H.S.Irwin & Barneby",NA
"Chloroleucon dumosum","(Benth.) G.P.Lewis",NA
"Chloroleucon extortum","Barneby & J.W.Grimes",NA
"Chloroleucon tortum","(Mart.) Pittier",NA
"Clitoria guianensis var. guianensis","(Aubl.) Benth.",NA
"Clitoria selloi","Benth.",NA
"Copaifera majorina","Dwyer",NA
"Coursetia vicioides","(Nees & Mart.) Benth.",NA
"Cranocarpus",NA,NA
