list_name,familia,name,label
genero,Fabaceae,Abarema,<span>_Abarema_</span>
genero,Salicaceae,Abatia,<span>_Abatia_</span>
genero,Malvaceae,Abelmoschus,<span>_Abelmoschus_</span>
genero,Cyperaceae,Abildgaardia,<span>_Abildgaardia_</span>
genero,Xyridaceae,Abolboda,<span>_Abolboda_</span>
genero,Fabaceae,Abrus,<span>_Abrus_</span>
genero,Menispermaceae,Abuta,<span>_Abuta_</span>
genero,Malvaceae,Abutilon,<span>_Abutilon_</span>
genero,Fabaceae,Acacia,<span>_Acacia_</span>
genero,Euphorbiaceae,Acalypha,<span>_Acalypha_</span>
genero,Polygalaceae,Acanthocladus,<span>_Acanthocladus_</span>
genero,Asteraceae,Acanthospermum,<span>_Acanthospermum_</span>
genero,Bromeliaceae,Acanthostachys,<span>_Acanthostachys_</span>
genero,Myrtaceae,Accara,<span>_Accara_</span>
genero,Plantaginaceae,Achetaria,<span>_Achetaria_</span>
genero,Amaranthaceae,Achyranthes,<span>_Achyranthes_</span>
genero,Asteraceae,Achyrocline,<span>_Achyrocline_</span>
genero,Orchidaceae,Acianthera,<span>_Acianthera_</span>
genero,Calyceraceae,Acicarpha,<span>_Acicarpha_</span>
genero,Asteraceae,Acilepidopsis,<span>_Acilepidopsis_</span>
genero,Melastomataceae,Aciotis,<span>_Aciotis_</span>
genero,Melastomataceae,Acisanthera,<span>_Acisanthera_</span>
genero,Asteraceae,Acmella,<span>_Acmella_</span>
genero,Fabaceae,Acosmium,<span>_Acosmium_</span>
genero,Asteraceae,Acritopappus,<span>_Acritopappus_</span>
genero,Poaceae,Acroceras,<span>_Acroceras_</span>
genero,Arecaceae,Acrocomia,<span>_Acrocomia_</span>
genero,Eriocaulaceae,Actinocephalus,<span>_Actinocephalus_</span>
genero,Poaceae,Actinocladum,<span>_Actinocladum_</span>
genero,Euphorbiaceae,Actinostemon,<span>_Actinostemon_</span>
genero,Fabaceae,Adenanthera,<span>_Adenanthera_</span>
genero,Lythraceae,Adenaria,<span>_Adenaria_</span>
genero,Bignoniaceae,Adenocalymma,<span>_Adenocalymma_</span>
genero,Asteraceae,Adenostemma,<span>_Adenostemma_</span>
genero,Bromeliaceae,Aechmea,<span>_Aechmea_</span>
genero,Lamiaceae,Aegiphila,<span>_Aegiphila_</span>
genero,Fabaceae,Aeschynomene,<span>_Aeschynomene_</span>
genero,Orobanchaceae,Agalinis,<span>_Agalinis_</span>
genero,Amaryllidaceae,Agapanthus,<span>_Agapanthus_</span>
genero,Ericaceae,Agarista,<span>_Agarista_</span>
genero,Asparagaceae,Agave,<span>_Agave_</span>
genero,Poaceae,Agenium,<span>_Agenium_</span>
genero,Asteraceae,Ageratum,<span>_Ageratum_</span>
genero,Araceae,Aglaonema,<span>_Aglaonema_</span>
genero,Opiliaceae,Agonandra,<span>_Agonandra_</span>
genero,Asteraceae,Agrianthus,<span>_Agrianthus_</span>
genero,Rosaceae,Agrimonia,<span>_Agrimonia_</span>
genero,Poaceae,Agrostis,<span>_Agrostis_</span>
genero,Lauraceae,Aiouea,<span>_Aiouea_</span>
genero,Malvaceae,Akrosida,<span>_Akrosida_</span>
genero,Asteraceae,Albertinia,<span>_Albertinia_</span>
genero,Fabaceae,Albizia,<span>_Albizia_</span>
genero,Bromeliaceae,Alcantarea,<span>_Alcantarea_</span>
genero,Euphorbiaceae,Alchornea,<span>_Alchornea_</span>
genero,Asteraceae,Aldama,<span>_Aldama_</span>
genero,Euphorbiaceae,Algernonia,<span>_Algernonia_</span>
genero,Malpighiaceae,Alicia,<span>_Alicia_</span>
genero,Arecaceae,Allagoptera,<span>_Allagoptera_</span>
genero,Apocynaceae,Allamanda,<span>_Allamanda_</span>
genero,Amaryllidaceae,Allium,<span>_Allium_</span>
genero,Sapindaceae,Allophylus,<span>_Allophylus_</span>
genero,Asparagaceae,Aloe,<span>_Aloe_</span>
genero,Verbenaceae,Aloysia,<span>_Aloysia_</span>
genero,Zingiberaceae,Alpinia,<span>_Alpinia_</span>
genero,Rubiaceae,Alseis,<span>_Alseis_</span>
genero,Alstroemeriaceae,Alstroemeria,<span>_Alstroemeria_</span>
genero,Amaranthaceae,Alternanthera,<span>_Alternanthera_</span>
